Username,Email,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Calculated Final Grade Scheme Symbol,End-of-Line Indicator
jhowie1,gbickerstaff1@trellian.com,88.193225191,90,97.99 %,#
sharwell2,vgavin2@hc360.com,88.710743802,90,98.57 %,#
evickars3,fshemilt3@vimeo.com,89.47107438,90,99.41 %,#
gleckie4,pduddridge4@bravesites.com,88.073863636,90,97.86 %,#
jfrancomb5,phighway5@posterous.com,70.17377451,90,77.97 %,#
aburnitt6,mcoldbath6@ucoz.ru,85.731446302,90,95.26 %,#
tderricoat7,wpaliser7@naver.com,89.375886525,90,99.31 %,#
gfley8,tspriggen8@va.gov,66.512086777,90,73.9 %,#
bruffell9,jdickon9@cargocollective.com,80.322845771,90,89.25 %,#
llanea,kfloreza@samsung.com,54.007603306,90,60.01 %,#
rdurbannb,gespinosab@aboutads.info,84.164602577,90,93.52 %,#
ypiggenc,lemanuelic@slashdot.org,68.492647059,90,76.1 %,#
ekiliand,leadmeadd@lulu.com,65.867034314,90,73.19 %,#
hburgane,kbaldreee@vistaprint.com,89.668595041,90,99.63 %,#
bbigleyf,ddrillingcourtf@usda.gov,47.903957406,90,53.23 %,#
eringeg,mrubinovitchg@wunderground.com,88.628571429,90,98.48 %,#
asimkoh,voldfordh@sina.com.cn,87.35857438,90,97.07 %,#
fforshawi,jclenchi@timesonline.co.uk,89.857142857,90,99.84 %,#
agillsonj,mprettjohnj@nsw.gov.au,87.11518595,90,96.79 %,#
ulucusk,lburghk@flavors.me,86.878719008,90,96.53 %,#
rprendevillel,lwitterl@privacy.gov.au,88.070764463,90,97.86 %,#
dsheptonm,asidworthm@gravatar.com,25.729166667,90,28.59 %,#
oscotlandn,pbednelln@php.net,70.761522568,90,78.62 %,#
dearieo,nduffo@sina.com.cn,88.761880165,90,98.62 %,#
bslatterp,egounotp@parallels.com,88.981631679,90,98.87 %,#
vjostq,eheinekeq@pinterest.com,48.433333333,90,53.81 %,#
wtomeir,mpadgettr@ucla.edu,84.398760331,90,93.78 %,#
dchurchlows,jranners@technorati.com,86.112424012,90,95.68 %,#
jmapplest,cliebmannt@wufoo.com,89.801652893,90,99.78 %,#
ahalladayu,fthirlwellu@zimbio.com,86.772727273,90,96.41 %,#
sgormallyv,tkoschekv@360.cn,45.208333333,90,50.23 %,#
dpaddisonw,bcasiniw@fda.gov,89.733333333,90,99.7 %,#
wburchettx,mbaumex@theguardian.com,83.29375,90,92.55 %,#
ltapliny,aewersy@furl.net,78.362445309,90,87.07 %,#
esharplez,tgiacovettiz@hp.com,89.73553719,90,99.71 %,#
alomansey10,acurwood10@merriam-webster.com,87.804407713,90,97.56 %,#
bkrzyzowski11,ebarthropp11@smugmug.com,89.230357143,90,99.14 %,#
cmatyashev12,kwoodward12@washingtonpost.com,78.787706044,90,87.54 %,#
ygoretti13,ovasyutin13@comsenz.com,70.779166666,90,78.64 %,#
llorincz14,rgreenough14@ask.com,75.266933034,90,83.63 %,#
fledes15,csmitheman15@wisc.edu,84.099584502,90,93.44 %,#
ggaylord16,pcasolla16@w3.org,90,90,100 %,#
nkorous17,pbullimore17@xing.com,83.410300117,90,92.68 %,#
cpadley18,dmarquis18@prnewswire.com,79.360120928,90,88.18 %,#
hbennit19,iphilippeaux19@independent.co.uk,88.834798858,90,98.71 %,#
rchomley1a,repton1a@marriott.com,89.486736225,90,99.43 %,#
awhatson1b,rridehalgh1b@indiatimes.com,89.687943262,90,99.65 %,#
adelamere1c,gtissell1c@washington.edu,74.614016398,90,82.9 %,#
mhovert1d,rcorton1d@nsw.gov.au,85.033770661,90,94.48 %,#
kfursse1e,cgodart1e@naver.com,75.928966942,90,84.37 %,#
epennacci1f,achown1f@nymag.com,77.861144871,90,86.51 %,#
packenson1g,bcoomer1g@moonfruit.com,83.377959629,90,92.64 %,#
ltull1h,dtesimon1h@pen.io,68.839322155,90,76.49 %,#
lchaim1i,mlanon1i@japanpost.jp,87.577995868,90,97.31 %,#
kbartleet1j,nquinnell1j@histats.com,87.508928571,90,97.23 %,#
lbitten1k,kconstantine1k@mail.ru,61.779166667,90,68.64 %,#
bkennelly1l,niannelli1l@nps.gov,88.392303719,90,98.21 %,#
jlammin1m,githell1m@fc2.com,87.505681818,90,97.23 %,#
nleipelt1n,vrubinow1n@woothemes.com,67.751188017,90,75.28 %,#
ihelleckas1o,omcgrorty1o@delicious.com,89.272727273,90,99.19 %,#
lludwig1p,xdunk1p@ning.com,89.211309524,90,99.12 %,#
pmateuszczyk1q,rpaladini1q@google.cn,87.773214286,90,97.53 %,#
gmosco1r,pkaplan1r@mit.edu,86.254166667,90,95.84 %,#
aohogertie1s,bbarajaz1s@earthlink.net,89.092458678,90,98.99 %,#
ebatty1t,tbewlie1t@usatoday.com,77.929656863,90,86.59 %,#
cfindlay1u,ascotchbrook1u@dyndns.org,74.375,90,82.64 %,#
sstory1v,splaister1v@wp.com,82.693872549,90,91.88 %,#
epavlov1w,csalter1w@soundcloud.com,81.056140351,90,90.06 %,#
bjacmar1x,bberkelay1x@flickr.com,85.632842125,90,95.15 %,#
cpreene1y,sheadings1y@aboutads.info,24.51025641,90,27.23 %,#
